ip_address,mac_address,status,vlan
10.39.20.64,,Unreachable,18
10.39.20.65,,Unreachable,18
10.39.20.66,,Unreachable,18
10.39.20.67,,Unreachable,18
10.39.20.68,,Unreachable,18
10.39.20.69,,Unreachable,18
10.39.20.70,,Unreachable,18
10.39.20.71,,Unreachable,18
10.39.20.72,,Unreachable,18
10.39.20.73,,Unreachable,18
10.39.20.74,,Unreachable,18
10.39.20.75,,Unreachable,18
10.39.20.76,,Unreachable,18
10.39.20.77,,Unreachable,18
10.39.20.78,,Unreachable,18
10.39.20.79,,Unreachable,18
10.39.20.80,,Unreachable,18
10.39.20.81,,Unreachable,18
10.39.20.82,,Unreachable,18
10.39.20.83,,Unreachable,18
10.39.20.84,,Unreachable,18
10.39.20.85,,Unreachable,18
10.39.20.86,,Unreachable,18
10.39.20.87,,Unreachable,18
10.39.20.88,,Unreachable,18
10.39.20.89,,Unreachable,18
10.39.20.90,,Unreachable,18
10.39.20.91,,Unreachable,18
10.39.20.92,,Unreachable,18
10.39.20.93,,Unreachable,18
10.39.20.94,,Unreachable,18
10.39.20.95,,Unreachable,18
10.39.20.96,,Unreachable,18
10.39.20.97,,Unreachable,18
10.39.20.98,,Unreachable,18
10.39.20.99,,Unreachable,18
10.39.20.100,,Unreachable,18
10.39.20.101,,Unreachable,18
10.39.20.102,,Unreachable,18
10.39.20.103,,Unreachable,18
10.39.20.104,,Unreachable,18
10.39.20.105,,Unreachable,18
10.39.20.106,,Unreachable,18
10.39.20.107,,Unreachable,18
10.39.20.108,,Unreachable,18
10.39.20.109,,Unreachable,18
10.39.20.110,,Unreachable,18
10.39.20.111,,Unreachable,18
10.39.20.112,,Unreachable,18
10.39.20.113,,Unreachable,18
10.39.20.114,,Unreachable,18
10.39.20.115,,Unreachable,18
10.39.20.116,,Unreachable,18
10.39.20.117,,Unreachable,18
10.39.20.118,,Unreachable,18
10.39.20.119,,Unreachable,18
10.39.20.120,,Unreachable,18
10.39.20.121,,Unreachable,18
10.39.20.122,,Unreachable,18
10.39.20.123,,Unreachable,18
10.39.20.124,,Unreachable,18
10.39.20.125,,Unreachable,18
10.39.20.126,,Unreachable,18
10.39.20.127,,Unreachable,18
10.39.20.128,,Unreachable,18
10.39.20.129,,Unreachable,18
10.39.20.130,,Unreachable,18
10.39.20.131,,Unreachable,18
10.39.20.132,,Unreachable,18
10.39.20.133,,Unreachable,18
10.39.20.134,,Unreachable,18
10.39.20.135,,Unreachable,18
10.39.20.136,,Unreachable,18
10.39.20.137,,Unreachable,18
10.39.20.138,,Unreachable,18
10.39.20.139,,Unreachable,18
10.39.20.140,,Unreachable,18
10.39.20.141,,Unreachable,18
10.39.20.142,,Unreachable,18
10.39.20.143,,Unreachable,18
10.39.20.144,,Unreachable,18
10.39.20.145,,Unreachable,18
10.39.20.146,,Unreachable,18
10.39.20.147,,Unreachable,18
10.39.20.148,,Unreachable,18
10.39.20.149,,Unreachable,18
10.39.20.150,,Unreachable,18
10.39.20.151,,Unreachable,18
10.39.20.152,,Unreachable,18
10.39.20.153,,Unreachable,18
10.39.20.154,,Unreachable,18
10.39.20.155,,Unreachable,18
10.39.20.156,,Unreachable,18
10.39.20.157,,Unreachable,18
10.39.20.158,,Unreachable,18
10.39.20.159,,Unreachable,18
10.39.20.160,,Unreachable,18
10.39.20.161,,Unreachable,18
10.39.20.162,,Unreachable,18
10.39.20.163,,Unreachable,18
10.39.20.164,,Unreachable,18
10.39.20.165,,Unreachable,18
10.39.20.166,,Unreachable,18
10.39.20.167,,Unreachable,18
10.39.20.168,,Unreachable,18
10.39.20.169,,Unreachable,18
10.39.20.170,,Unreachable,18
10.39.20.171,,Unreachable,18
10.39.20.172,,Unreachable,18
10.39.20.173,,Unreachable,18
10.39.20.174,,Unreachable,18
10.39.20.175,,Unreachable,18
10.39.20.176,,Unreachable,18
10.39.20.177,,Unreachable,18
10.39.20.178,,Unreachable,18
10.39.20.179,,Unreachable,18
10.39.20.180,,Unreachable,18
10.39.20.181,,Unreachable,18
10.39.20.182,,Unreachable,18
10.39.20.183,,Unreachable,18
10.39.20.184,,Unreachable,18
10.39.20.185,,Unreachable,18
10.39.20.186,,Unreachable,18
10.39.20.187,,Unreachable,18
10.39.20.188,,Unreachable,18
10.39.20.189,,Unreachable,18
10.39.20.190,,Unreachable,18
10.39.20.191,,Unreachable,18
10.39.20.192,,Unreachable,18
10.39.20.193,,Unreachable,18
10.39.20.194,,Unreachable,18
10.39.20.195,,Unreachable,18
10.39.20.196,,Unreachable,18
10.39.20.197,,Unreachable,18
10.39.20.198,,Unreachable,18
10.39.20.199,,Unreachable,18
10.39.20.200,,Unreachable,18
10.39.20.201,,Unreachable,18
10.39.20.202,,Unreachable,18
10.39.20.203,,Unreachable,18
10.39.20.204,,Unreachable,18
10.39.20.205,,Unreachable,18
10.39.20.206,,Unreachable,18
10.39.20.207,,Unreachable,18
10.39.20.208,,Unreachable,18
10.39.20.209,,Unreachable,18
10.39.20.210,,Unreachable,18
10.39.20.211,,Unreachable,18
10.39.20.212,,Unreachable,18
10.39.20.213,,Unreachable,18
10.39.20.214,,Unreachable,18
10.39.20.215,,Unreachable,18
10.39.20.216,,Unreachable,18
10.39.20.217,,Unreachable,18
10.39.20.218,,Unreachable,18
10.39.20.219,,Unreachable,18
10.39.20.220,,Unreachable,18
10.39.20.221,,Unreachable,18
10.39.20.222,,Unreachable,18
10.39.20.223,,Unreachable,18
10.39.20.224,,Unreachable,18
10.39.20.225,,Unreachable,18
10.39.20.226,,Unreachable,18
10.39.20.227,,Unreachable,18
10.39.20.228,,Unreachable,18
10.39.20.229,,Unreachable,18
10.39.20.230,,Unreachable,18
10.39.20.231,,Unreachable,18
10.39.20.232,,Unreachable,18
10.39.20.233,,Unreachable,18
10.39.20.234,,Unreachable,18
10.39.20.235,,Unreachable,18
10.39.20.236,,Unreachable,18
10.39.20.237,,Unreachable,18
10.39.20.238,,Unreachable,18
10.39.20.239,,Unreachable,18
10.39.20.240,,Unreachable,18
10.39.20.241,,Unreachable,18
10.39.20.242,,Unreachable,18
10.39.20.243,,Unreachable,18
10.39.20.244,,Unreachable,18
10.39.20.245,,Unreachable,18
10.39.20.246,,Unreachable,18
10.39.20.247,,Unreachable,18
10.39.20.248,,Unreachable,18
10.39.20.249,,Unreachable,18
10.39.20.250,,Unreachable,18
10.39.20.251,,Unreachable,18
10.39.20.252,,Unreachable,18
10.39.20.253,,Unreachable,18
10.39.20.254,,Unreachable,18
10.39.21.1,,Unreachable,18
10.39.21.2,,Unreachable,18
10.39.21.3,c4b2.3977.2cf6,Reachable,18
10.39.21.4,,Unreachable,18
10.39.21.5,,Unreachable,18
10.39.21.6,,Unreachable,18
10.39.21.7,,Unreachable,18
10.39.21.8,,Unreachable,18
10.39.21.9,,Unreachable,18
10.39.21.10,,Unreachable,18
10.39.21.11,,Unreachable,18
10.39.21.12,,Unreachable,18
10.39.21.13,,Unreachable,18
10.39.21.14,,Unreachable,18
10.39.21.15,,Unreachable,18
10.39.21.16,,Unreachable,18
10.39.21.17,,Unreachable,18
10.39.21.18,,Unreachable,18
10.39.21.19,,Unreachable,18
10.39.21.20,,Unreachable,18
10.39.21.21,,Unreachable,18
10.39.21.22,,Unreachable,18
10.39.21.23,,Unreachable,18
10.39.21.24,,Unreachable,18
10.39.21.25,,Unreachable,18
10.39.21.26,,Unreachable,18
10.39.21.27,,Unreachable,18
10.39.21.28,,Unreachable,18
10.39.21.29,,Unreachable,18
10.39.21.30,,Unreachable,18
10.39.21.31,,Unreachable,18
10.39.21.32,,Unreachable,18
10.39.21.33,,Unreachable,18
10.39.21.34,,Unreachable,18
10.39.21.35,,Unreachable,18
10.39.21.36,,Unreachable,18
10.39.21.37,,Unreachable,18
10.39.21.38,,Unreachable,18
10.39.21.39,,Unreachable,18
10.39.21.40,,Unreachable,18
10.39.21.41,,Unreachable,18
10.39.21.42,,Unreachable,18
10.39.21.43,,Unreachable,18
10.39.21.44,,Unreachable,18
10.39.21.45,,Unreachable,18
10.39.21.46,,Unreachable,18
10.39.21.47,,Unreachable,18
10.39.21.48,,Unreachable,18
10.39.21.49,,Unreachable,18
10.39.21.50,,Unreachable,18
10.39.21.51,,Unreachable,18
10.39.21.52,,Unreachable,18
10.39.21.53,,Unreachable,18
10.39.21.54,,Unreachable,18
10.39.21.55,,Unreachable,18
10.39.21.56,,Unreachable,18
10.39.21.57,,Unreachable,18
10.39.21.58,,Unreachable,18
10.39.21.59,,Unreachable,18
10.39.21.60,,Unreachable,18
10.39.21.61,,Unreachable,18
10.39.21.62,,Unreachable,18
10.39.21.63,,Unreachable,18
10.39.21.64,,Unreachable,18
10.39.21.65,,Unreachable,18
10.39.21.66,,Unreachable,18
10.39.21.67,,Unreachable,18
10.39.21.68,,Unreachable,18
10.39.21.69,,Unreachable,18
10.39.21.70,,Unreachable,18
